|Unnamed: 0|x|y|labels|Cluster
96|96|-11.96426773071289|-11.783506393432615|getrocknet|C7
97|97|-18.871055603027344|9.314512252807617|im|C6
98|98|-2.9027740955352783|-15.18908977508545|Topf|C9
99|99|20.830883026123047|6.239665985107423|(gehackt)|C2
100|100|18.862794876098636|-1.4488871097564695|Reis|C3
101|101|7.6425275802612305|-12.47173023223877|Becher|C5
102|102|-13.442980766296387|24.676616668701172|Bio|C4
103|103|-3.0060298442840576|-15.00301456451416|saure|C9
104|104|-18.982646942138672|9.79753303527832|Sahne|C6
105|105|-18.56863212585449|2.655202865600586|Beeren|C0
106|106|13.81595516204834|-6.521098136901856|(zur|C3
107|107|-17.660844802856445|13.581295013427734|nach|C8
108|108|-12.927626609802244|25.73068809509277|Wahl|C4
109|109|-16.086523056030273|19.87337875366211|kg|C1
110|110|-17.12705421447754|16.596094131469727|vom|C8
111|111|-11.561758995056152|-11.247406959533693|Rind|C7
112|112|4.079901695251465|-15.002934455871582|gewürfelt|C5
113|113|-18.94325256347656|0.908787727355957|gerieben|C0
114|114|-17.615955352783203|-3.645353794097901|Natives|C0
115|115|-14.673941612243652|23.07802391052246|Olivenöl|C4
116|116|-18.84234619140625|-2.0755136013031006|extra|C0
117|117|-18.2174129486084|13.733683586120605|Schlagsahne|C8
118|118|12.665496826171875|-8.646700859069824|Bier|C3
119|119|19.999120712280273|6.34662675857544|Apfel|C2
120|120|-15.497088432312012|-7.205319881439209|Blattspinat|C7
121|121|-16.234235763549805|-6.066702365875244|TK|C7
122|122|-17.881898880004886|12.94996166229248|Eier|C8
123|123|-16.659059524536133|17.798948287963867|(Größe|C1
124|124|-17.879175186157227|12.71445083618164|M)|C8
125|125|-9.150644302368164|-12.497952461242676|Eigelb|C9
126|126|-18.685171127319336|7.9558610916137695|Erbsen|C6
127|127|17.771303176879886|0.6131969094276428|Feldsalat|C3
128|128|-6.814609050750732|-13.746870040893555|Gemüsebrühe|C9
129|129|16.918115615844727|-3.6868021488189697|Hackfleisch|C3
130|130|-19.138280868530273|3.1404650211334233|Hähnchen|C0
131|131|22.13481903076172|9.754956245422363|Karotten|C2
132|132|8.880277633666992|-11.50729274749756|Möhren|C5
133|133|23.66760635375977|11.998559951782227|Quinoa|C2
134|134|-17.181686401367188|-4.287374973297118|Minze|C0
135|135|-13.823896408081055|-9.657572746276855|Weizenmehl|C7
136|136|13.691722869873047|-7.117105007171631|Ziegenfrischkäse|C3
137|137|10.744352340698242|-8.862995147705078|Saft)|C5
138|138|-9.564653396606444|-13.377062797546387|(Saft|C9
139|139|-16.38772964477539|19.20566749572754|Schale|C1
140|140|-18.97484016418457|7.565544128417969|Äpfel|C6
141|141|18.20731544494629|-0.06770520657300949|Spaghetti|C3
142|142|-4.720754623413086|-14.659683227539062|(abgeriebene|C9
143|143|-19.15186882019043|1.8956435918807983|Schale)|C0
144|144|19.04837989807129|1.0815457105636597|Birnen|C3
145|145|13.879557609558105|-8.062197685241701|TK)|C3
146|146|1.248949408531189|-15.472955703735352|(TK)|C5
147|147|-5.47593879699707|-13.920193672180176|(flüssig)|C9
148|148|9.95633602142334|-9.513999938964844|Kopf|C5
149|149|-19.15444564819336|1.0514971017837524|große|C0
150|150|20.10390281677246|3.9013249874114986|Blätter|C2
151|151|1.7711014747619631|-14.204557418823242|Wirsing|C5
152|152|-15.031376838684082|22.03890609741211|frische|C1
153|153|-15.223570823669435|20.703414916992188|Packung(en)|C1
154|154|1.9986220598220823|-14.535439491271973|Blätterteig|C5
155|155|-13.793350219726562|-10.023258209228516|(Kühlregal)|C7
156|156|-1.5468599796295166|-15.14271640777588|Blütenhonig|C9
157|157|-18.14548683166504|1.0569720268249512|Bohnen|C0
158|158|-13.20478057861328|24.86882019042969|zum|C4
159|159|-18.523778915405273|-1.7875510454177856|cl|C0
160|160|15.28039264678955|-2.9396638870239262|Gin|C3
161|161|-16.964271545410153|16.376901626586914|Brandenburg|C8
162|162|-19.156110763549805|1.6199358701705933|l|C0
163|163|17.115093231201172|0.5887061953544617|Roh-Rohrzucker|C3
164|164|9.781509399414062|-10.14282512664795|Regional)|C5
165|165|5.127435207366943|-14.59239673614502|Brot|C5
166|166|17.49235725402832|-1.352120041847229|Brötchen|C3
167|167|-18.58814239501953|10.13042449951172|Mehl|C6
168|168|11.261761665344238|-9.431715965270996|Koriander|C5
169|169|-18.425588607788086|11.404858589172365|Petersilie|C8
170|170|10.904047966003418|-8.39674186706543|Zuckerperlen|C5
171|171|-15.67251682281494|20.97538185119629|Pfeffer|C1
172|172|-18.45311164855957|9.70333194732666|Garnieren|C6
173|173|-2.996426105499268|-15.747108459472654|Butter|C9
174|174|-17.775232315063477|15.68841552734375|die|C8
175|175|18.16694450378418|-0.4972619712352753|Cashewkerne|C3
176|176|-10.74366569519043|-12.020730018615724|gehackt|C7
177|177|16.93832778930664|-1.185571551322937|natur|C3
178|178|16.480255126953125|-2.201317548751831|Sekt|C3
179|179|-18.488304138183594|1.2461456060409546|Champignons|C0
180|180|-4.960864543914795|-14.506227493286133|ganze|C9
181|181|-7.332205772399902|-13.731786727905273|(Glas)|C9
182|182|20.594919204711914|5.7419795989990225|Cheddar|C2
183|183|21.58256721496582|8.866915702819824|Rispentomaten|C2
184|184|12.993995666503904|-6.282215595245361|Cherrytomaten|C3
185|185|-18.35978889465332|0.5509721636772156|Chili|C0
186|186|17.415538787841793|-0.2932542562484741|(gemahlen)|C3
187|187|12.29666233062744|-7.879605770111084|Schote(n)|C3
188|188|-16.544614791870114|-5.5177998542785645|Sauce|C7
189|189|19.13357925415039|2.0559065341949463|Chiliflocken|C3
190|190|13.443562507629395|-7.343146800994872|Bestreuen|C3
191|191|-10.296974182128906|-12.955656051635742|Chilischote|C9
192|192|22.39595603942871|8.489405632019043|Ciabatta|C2
193|193|15.943819999694824|-4.384339332580566|Cocktailtomaten|C3
194|194|13.690448760986328|-5.554043769836426|Cranberries|C3
195|195|-13.532098770141602|-9.773197174072266|ja!)|C7
196|196|-1.6777039766311646|-15.31639003753662|Cookies|C9
197|197|-18.934600830078125|9.350187301635742|Kräuter|C6
198|198|-18.314739227294922|12.188426971435547|Orange|C8
