unit,name
g,Rotkohl
noUnit,Rotkohl
kleiner,Rotkohl
Glas,Rotkohl
kg,Rotkohl
noUnit,Bio Zitrone
g,REWE Bio Süßrahmbutter
EL,REWE Bio Süßrahmbutter
noUnit,REWE Bio Süßrahmbutter
g,Mascarpone
EL,Mascarpone
g,Reis
Tasse(n),Reis
g,Birnen
noUnit,Birnen
kleine,Birnen
g,Cocktailtomaten
noUnit,Cocktailtomaten
g,frische Hefe
Würfel,frische Hefe
Päckchen,frische Hefe
noUnit,Staudensellerie
Stange(n),Staudensellerie
g,Staudensellerie
noUnit,rote Paprikaschote
EL,Sojasauce
noUnit,Sojasauce
TL,Sojasauce
Tasse(n),Sojasauce
ml,Sojasauce
g,Walnusskerne
EL,Walnusskerne
halbe,Gurke
g,Gurke
kleine,Gurke
Stück,Gurke
noUnit,Gurke
l,Buttermilch
ml,Buttermilch
g,Buttermilch
g,Hähnchenbrustfilet
noUnit,Hähnchenbrustfilet
noUnit,Bananen
kleine,Bananen
g,Backkakao
EL,Backkakao
TL,Backkakao
g,saure Sahne
EL,saure Sahne
noUnit,saure Sahne
ml,saure Sahne
kleiner,Blumenkohl
Köpfe,Blumenkohl
g,Blumenkohl
Kopf,Blumenkohl
großer,Blumenkohl
noUnit,Blumenkohl
g,Trockenhefe
TL,Trockenhefe
Packung(en),Trockenhefe
EL,Trockenhefe
Päckchen,Trockenhefe
g,Hokkaido-Kürbis
noUnit,Hokkaido-Kürbis
kg,Hokkaido-Kürbis
kleiner,Hokkaido-Kürbis
g,Mais
Dose(n),Mais
g,Sonnenblumenkerne
TL,Sonnenblumenkerne
EL,Sonnenblumenkerne
ml,REWE Bio Olivenöl
EL,REWE Bio Olivenöl
noUnit,Orange
g,Orange
g,grüner Spargel
kg,grüner Spargel
Stange(n),grüner Spargel
Bund,grüner Spargel
EL,Mandelblättchen
g,Mandelblättchen
TL,Mandelblättchen
g,Speckwürfel
EL,Speckwürfel
g,Cashewkerne
EL,Cashewkerne
EL,REWE Bio Natives Olivenöl extra
noUnit,REWE Bio Natives Olivenöl extra
ml,REWE Bio Natives Olivenöl extra
TL,REWE Bio Natives Olivenöl extra
TL,Lebkuchengewürz
EL,Lebkuchengewürz
noUnit,Lebkuchengewürz
Packung(en),Lebkuchengewürz
Msp.,Lebkuchengewürz
EL,flüssiger Honig
g,flüssiger Honig
TL,flüssiger Honig
Packung(en),Sahnesteif
Päckchen,Sahnesteif
noUnit,Sahnesteif
g,gehackte Mandeln
EL,gehackte Mandeln
noUnit,gehackte Mandeln
noUnit,Avocados
noUnit,Bio-Orange
EL,zarte Haferflocken
g,zarte Haferflocken
TL,gehackte Pistazien
g,gehackte Pistazien
EL,gehackte Pistazien
Packung(en),gehackte Pistazien
noUnit,gehackte Pistazien
EL,Mandeln
noUnit,Mandeln
g,Mandeln
g,Quinoa
noUnit,Fett für die Form
Blatt,Lorbeer
Blätter,Lorbeer
noUnit,Lorbeer
g,Rohrzucker
EL,Rohrzucker
TL,Rohrzucker
noUnit,Banane
kleine,Banane
g,Banane
Stiel(e),Salbei
g,Salbei
Blatt,Salbei
Zweig(e),Salbei
Bund,Salbei
Blätter,Salbei
noUnit,Salbei
g,Räucherlachs
Scheibe(n),Räucherlachs
ml,passierte Tomaten
noUnit,passierte Tomaten
g,passierte Tomaten
noUnit,Blaubeeren
g,Blaubeeren
EL,Blaubeeren
Dose(n),stückige Tomaten
ml,stückige Tomaten
Packung(en),stückige Tomaten
g,stückige Tomaten
EL,REWE Feine Welt Gemüsefond
Gläser,REWE Feine Welt Gemüsefond
Glas,REWE Feine Welt Gemüsefond
ml,REWE Feine Welt Gemüsefond
l,REWE Feine Welt Gemüsefond
noUnit,REWE Feine Welt Gemüsefond
Packung(en),Vanillin-Zucker
Päckchen,Vanillin-Zucker
g,Ricotta
EL,Ricotta
Blätter,Gelatine
Blatt,Gelatine
Schuss,Mineralwasser
EL,Mineralwasser
