nameId,name,amount,unit,unitId,frequency
719,REWE Frei von Mehlmischung glutenfrei,300,g,1,7729
724,REWE Frei von Hirtenkäse laktosefrei,200,g,1,7729
725,laktosefreier Frischkäse,100,g,1,7729
729,Cherrytomaten,250,g,1,7729
732,gemischtes Hackfleisch,500,g,1,7729
737,Saure Sahne,200,g,1,7729
740,Feta,150,g,1,7729
741,Feta,300,g,1,7729
742,Edel-Nuss-Mix,75,g,1,7729
744,Feldsalat,100,g,1,7729
745,Himbeeren,125,g,1,7729
749,"Rote Bete, gekocht",300,g,1,7729
751,"schwarze Oliven, entsteint",50,g,1,7729
756,Feta,100,g,1,7729
761,Feta,100,g,1,7729
762,Rinderhackfleisch,400,g,1,7729
779,Cocktailtomaten,200,g,1,7729
780,frischer Spinat,400,g,1,7729
781,Kichererbsen,300,g,1,7729
785,REWE Bio Dinkel wie Reis,250,g,1,7729
787,REWE Bio Hähnchenbrustfilet,320,g,1,7729
790,REWE Bio Junge Erbsen,300,g,1,7729
791,REWE Bio Hokkaido-Kürbis TK,300,g,1,7729
797,REWE Bio Saure Sahne,300,g,1,7729
799,REWE Bio TK Petersilie,10,g,1,7729
802,REWE Bio Dinkelgrieß,150,g,1,7729
804,Himbeeren,200,g,1,7729
805,Pistazien,30,g,1,7729
807,REWE Bio Dinkelvollkornmehl,170,g,1,7729
808,REWE Bio Dinkelmehl,80,g,1,7729
816,Heidelbeeren,900,g,1,7729
817,Rohrohrzucker,350,g,1,7729
821,Mungobohnensprossen,30,g,1,7729
823,Pak Choi,100,g,1,7729
825,Austernpilze,150,g,1,7729
839,Haselnüsse,200,g,1,7729
842,Zucker,50,g,1,7729
844,Butter,50,g,1,7729
845,REWE Bio Schweizer Vollmilchschokolade,150,g,1,7729
846,"Pistazien (ungesalzen, ohne Schale)",200,g,1,7729
847,weiße Schokolade,100,g,1,7729
848,Butter,100,g,1,7729
850,REWE Bio Cashewkerne,400,g,1,7729
853,Ube-Wurzel,250,g,1,7729
854,Zucker,200,g,1,7729
860,geschälte Hanfsamen,150,g,1,7729
865,Haselnüsse,40,g,1,7729
868,Backkakao,30,g,1,7729
871,Süßlupinen geschrotet,100,g,1,7729
877,getrocknete Tomaten,50,g,1,7729
894,REWE Feine Welt Fetakäse Lesbos,100,g,1,7729
899,Nuss-Nougat-Aufstrich,100,g,1,7729
908,Mehl,100,g,1,7729
916,Mehl,250,g,1,7729
917,Butter,100,g,1,7729
928,Mohn,30,g,1,7729
929,Mehl,500,g,1,7729
932,weiche Butter,50,g,1,7729
936,Butterschmalz,50,g,1,7729
941,weißer Spargel,500,g,1,7729
945,REWE Beste Wahl Tagliatelle mit Spinat,400,g,1,7729
951,Kalbfleisch (Schulter),600,g,1,7729
959,Tagliatelle,500,g,1,7729
960,kalte Butter,50,g,1,7729
967,Parmesan,50,g,1,7729
968,Cashewkerne,50,g,1,7729
971,Tagliatelle,400,g,1,7729
974,Parmesankäse,120,g,1,7729
976,REWE Beste Wahl Tagliatelle Nudeln,400,g,1,7729
982,REWE Beste Wahl Schlagsahne,400,g,1,7729
983,REWE Beste Wahl Tagliatelle-Nudeln PRO PLANET,400,g,1,7729
986,Kapern,15,g,1,7729
987,Saure Sahne,60,g,1,7729
1009,Mangold,400,g,1,7729
1016,Tagliatelle,360,g,1,7729
1020,Butter,60,g,1,7729
1022,Mehl,150,g,1,7729
1027,Zucker,100,g,1,7729
1028,Schlagsahne,200,g,1,7729
1029,Schmand,200,g,1,7729
1030,Rhabarberkonfitüre,200,g,1,7729
1032,Champignons,200,g,1,7729
1033,Kräutersaitlinge,150,g,1,7729
1034,Shiitake,150,g,1,7729
1035,Speck,50,g,1,7729
1041,Rinderfilet,600,g,1,7729
1042,Champignons,400,g,1,7729
1044,Salzgurken,100,g,1,7729
1048,saure Sahne,300,g,1,7729
1053,Butter,50,g,1,7729
1059,fein geriebener Parmesan,50,g,1,7729
1062,Butter,50,g,1,7729
1063,Mehl,50,g,1,7729
1087,saure Sahne,100,g,1,7729
1088,Schmand,200,g,1,7729
1093,REWE Bio Joghurt mild,150,g,1,7729
1094,Crème fraîche,100,g,1,7729
1103,Tomaten,500,g,1,7729
1105,Rosinen,70,g,1,7729
1108,Gelierzucker (2:1),500,g,1,7729
1117,"Frischkäse, Doppelrahmstufe",100,g,1,7729
1129,Champignons,250,g,1,7729
1130,Speck,200,g,1,7729
1132,Crème fraîche,200,g,1,7729
1140,Zucker,75,g,1,7729
1141,Butter,40,g,1,7729
1150,Kartoffeln,200,g,1,7729
1151,Fingermöhren,500,g,1,7729
1158,Butter,50,g,1,7729
1159,Mehl,50,g,1,7729
1169,Sauerkraut aus der Dose,300,g,1,7729
1176,Shiitake Pilze,100,g,1,7729
1187,Crème Fraîche,200,g,1,7729
1193,Walnüsse,50,g,1,7729
1195,"Cranberrys, getrocknet",50,g,1,7729
1204,REWE Beste Wahl Ziegenkäse in Scheiben,100,g,1,7729
1205,REWE Beste Wahl Cherrytomaten,250,g,1,7729
1208,REWE Beste Wahl Tagliatelle,600,g,1,7729
1211,Radicchio,400,g,1,7729
1212,Pancetta,150,g,1,7729
1216,Risotto-Reis,320,g,1,7729
1222,Reis,100,g,1,7729
1226,gemischtes Hackfleisch,500,g,1,7729
1230,Räucherspeck,150,g,1,7729
1231,Rippchen (Schwein),500,g,1,7729
1234,feiner Zucker,200,g,1,7729
1237,Blaubeeren,300,g,1,7729
1238,Zucker,100,g,1,7729
1240,Mascarpone,200,g,1,7729
1241,Joghurt,200,g,1,7729
1244,Zucker,340,g,1,7729
1250,Erdbeeren,200,g,1,7729
1251,Heidelbeeren,125,g,1,7729
1252,Himbeeren,125,g,1,7729
1253,gehackte Mandeln,50,g,1,7729
1255,Marzipanrohmasse,80,g,1,7729
1266,Marzipan-Rohmasse,400,g,1,7729
1268,getrocknete Aprikosen,100,g,1,7729
1269,blanchierte Mandeln,70,g,1,7729
1270,Marzipan-Rohmasse,400,g,1,7729
1271,Mehl,500,g,1,7729
1272,Zucker,125,g,1,7729
1277,Butter,250,g,1,7729
1278,Magerquark,250,g,1,7729
1280,gelbe Sultaninen,100,g,1,7729
1281,Marzipan-Rohmasse,85,g,1,7729
1282,gemahlene Haselnüsse,50,g,1,7729
1283,REWE Frei von Mehl glutenfrei,225,g,1,7729
1284,Butter,125,g,1,7729
1285,Zucker,60,g,1,7729
1290,Zartbitter-Kuvertüre,75,g,1,7729
1292,Marzipan-Rohmasse,100,g,1,7729
1293,Puderzucker,25,g,1,7729
1294,weiße Kuvertüre,25,g,1,7729
1298,Zartbitterschokolade (z.B. REWE Feine Welt Edel Zartbitter 58 %),800,g,1,7729
1305,Marshmallows,300,g,1,7729
1306,Kokosraspeln,100,g,1,7729
1308,Mehl,250,g,1,7729
1309,weiche Butter,125,g,1,7729
1310,Zucker,150,g,1,7729
1319,Puderzucker,300,g,1,7729
1325,gelbfleischige Pfirsiche,800,g,1,7729
1328,Pistazien gehackt,50,g,1,7729
1329,Puderzucker,200,g,1,7729
1334,gelbe Schokolade (candy melts),50,g,1,7729
1336,blaues Fondant,40,g,1,7729
1340,Puderzucker,300,g,1,7729
1346,dunkle Kuvertüre,200,g,1,7729
1348,Quinoa,50,g,1,7729
1349,Rote Bete,450,g,1,7729
1357,Rucola,100,g,1,7729
1360,Schmand,100,g,1,7729
1361,Feta,150,g,1,7729
1362,Walnüsse,40,g,1,7729
1369,Datteln,60,g,1,7729
1371,Muscovado-Zucker,50,g,1,7729
1374,gemahlene Leinsamen,85,g,1,7729
1376,Blaubeeren,125,g,1,7729
1378,Hafermehl,120,g,1,7729
1382,Quark,250,g,1,7729
1393,fettarmer Joghurt,250,g,1,7729
1394,Speisequark,100,g,1,7729
1395,Kräuterfrischkäse,200,g,1,7729
1396,geriebener Parmesan,60,g,1,7729
1399,Feta,150,g,1,7729
1400,getrocknete Tomaten,80,g,1,7729
1411,Rosenkohl,250,g,1,7729
1412,Butter,60,g,1,7729
1415,Pankomehl (asiatisches Paniermehl),300,g,1,7729
1421,frischer Feldsalat,200,g,1,7729
1423,Butter,30,g,1,7729
1424,REWE Feine Welt Italiens Backkunst Ciabattabrot,150,g,1,7729
1433,Schweinenacken (alternativ Keule),600,g,1,7729
1437,griechischer Joghurt,400,g,1,7729
1446,Erdnüsse,200,g,1,7729
1449,Zucker,5,g,1,7729
1450,Spaghetti,500,g,1,7729
1451,Meeresfrüchte,350,g,1,7729
1455,Kirschtomaten,250,g,1,7729
1463,Vollmilchschokolade,100,g,1,7729
1467,Speisestärke,30,g,1,7729
1472,Cheddar,100,g,1,7729
1475,Rinderhackfleisch,250,g,1,7729
1476,Ketchup,100,g,1,7729
1479,brauner Zucker,25,g,1,7729
1488,Zucker,250,g,1,7729
1494,REWE Bio Möhren,150,g,1,7729
1499,5-Minuten Reis,60,g,1,7729
1505,Basmati-Reis,300,g,1,7729
1513,Hähnchenfilet,400,g,1,7729
1524,"REWE Bio Joghurt (1,8 % Fett)",200,g,1,7729
1531,Hähnchenbrustfilet,400,g,1,7729
1534,getrocknete Aprikosen,100,g,1,7729
1537,Sahne,200,g,1,7729
1540,Penne,400,g,1,7729
1543,Rispentomaten,200,g,1,7729
1544,Mozzarella,125,g,1,7729
1550,Semmelbrösel,50,g,1,7729
1551,geraspelter Parmesan,50,g,1,7729
1554,Kartoffeln,300,g,1,7729
1557,REWE Beste Wahl Weinsauerkraut,400,g,1,7729
1561,Champignons,150,g,1,7729
1566,REWE Bio Putenbrust geräuchert,300,g,1,7729
1571,"Joghurt (1,8 % Fett)",250,g,1,7729
1575,Butter,50,g,1,7729
1577,Parmesan,50,g,1,7729
1579,Feldsalat,125,g,1,7729
1587,Kräuterfrischkäse,80,g,1,7729
1595,Halloumi Natur,150,g,1,7729
1607,Emmentaler gerieben,100,g,1,7729
1610,Brokkoli,600,g,1,7729
1613,REWE Bio Cherrytomaten,250,g,1,7729
1614,REWE Beste Wahl Speisekartoffeln,800,g,1,7729
1620,ja! Zucker,40,g,1,7729
1621,Mandelkerne ohne Haut,50,g,1,7729
1622,schwarze getrocknete Oliven ohne Stein,20,g,1,7729
1624,ja! weiche Butter,50,g,1,7729
1631,weißes Heilbuttfilet,400,g,1,7729
1634,ja! kalte Butter,70,g,1,7729
1635,Babyspinat,400,g,1,7729
1642,Putenbrustfilet,600,g,1,7729
1643,Kapern (Glas),30,g,1,7729
1647,Möhren,400,g,1,7729
1669,mehlig kochende Kartoffeln,750,g,1,7729
1670,Sellerie,350,g,1,7729
1672,Schalotten,150,g,1,7729
1674,Zucker,75,g,1,7729
1675,REWE Beste Wahl Weinsauerkraut,850,g,1,7729
1684,"Entenbrust, tiefgefroren",800,g,1,7729
1686,Pfeffer,Null,g,1,7729
1688,"Grünkohl, frisch",200,g,1,7729
1691,Cranberries (z.B. von ja!),60,g,1,7729
1692,"Erdnüsse, geröstet",50,g,1,7729
1694,Butter,50,g,1,7729
1699,frischer Ingwer,80,g,1,7729
1729,Walnüsse,200,g,1,7729
1738,Butter,20,g,1,7729
1741,Schalotten,300,g,1,7729
1752,Speisestärke,20,g,1,7729
1761,Mayonnaise,120,g,1,7729
1770,Hähnchenbrust,400,g,1,7729
1785,REWE Bio Schlagsahne,400,g,1,7729
1787,Gratinkäse,100,g,1,7729
1788,Reis,300,g,1,7729
1791,Ingwer,10,g,1,7729
1807,Pak Choi,300,g,1,7729
1811,Hähnchenbrustfilet,640,g,1,7729
1824,Kirschtomaten,150,g,1,7729
1829,Kartoffeln,300,g,1,7729
1841,Butter,200,g,1,7729
1853,Butter,70,g,1,7729
1858,frische Hefe,21,g,1,7729
1859,ja! Mehl,225,g,1,7729
1866,Kartoffeln (vorwiegend festkochend),800,g,1,7729
1881,REWE Bio Frischkäse Natur,350,g,1,7729
1882,REWE Bio Passata aus frischen Tomaten,100,g,1,7729
1887,ja! Zarte Haferflocken,100,g,1,7729
1888,REWE Bio Weizen-Vollkornmehl,150,g,1,7729
1894,Frischkäse,200,g,1,7729
1895,gehackte Pistazien,60,g,1,7729
1898,Frischkäse,800,g,1,7729
1900,Räucherlachs-Scheiben,100,g,1,7729
1907,Schmand,150,g,1,7729
1910,Cashewkerne,250,g,1,7729
1932,roter Mangold,400,g,1,7729
1933,REWE Bio Hähnchenfilet,400,g,1,7729
1934,REWE Bio Cherry Romatomaten,200,g,1,7729
1935,Ingwer,20,g,1,7729
1940,REWE Bio Pinienkerne,50,g,1,7729
1944,REWE frei von Frischkäse,175,g,1,7729
1948,Blattspinat,80,g,1,7729
1952,Putenbrust-Aufschnitt in dünnen Scheiben,100,g,1,7729
1954,Ingwer,50,g,1,7729
1965,Salz,15,g,1,7729
1975,Gänseschmalz (oder Entenfett aus Bräter),60,g,1,7729
1979,festkochende Kartoffeln,800,g,1,7729
1980,geröstete Paprika (Glas),200,g,1,7729
1984,Mehl,50,g,1,7729
1985,Panko (asiatisches Paniermehl),80,g,1,7729
1987,REWE Beste Wahl Barbecuesauce,200,g,1,7729
1998,Chorizo am Stück,100,g,1,7729
2001,Crème fraîche,100,g,1,7729
2003,Champignons,400,g,1,7729
2020,TK-Spinat,500,g,1,7729
2032,Chorizo am Stück,100,g,1,7729
2035,REWE Bio Blattspinat tiefgefroren,400,g,1,7729
2042,REWE Bio Fusilli Grüne Erbsen,400,g,1,7729
2047,Zucker,300,g,1,7729
2056,REWE Bio Zwiebeln,200,g,1,7729
2063,Hokkaido-Kürbis,600,g,1,7729
2064,REWE Bio Zucchini,200,g,1,7729
2065,Grüne Bohnen,200,g,1,7729
2067,REWE Bio Pizzatomaten,425,g,1,7729
2068,REWE Bio Couscous,300,g,1,7729
2071,REWE Bio Joghurt,150,g,1,7729
2079,ja! Hackfleisch gemischt,500,g,1,7729
2089,ja! Saure Sahne,150,g,1,7729
2090,Kartoffeln,500,g,1,7729
2092,Kartoffelstärke,20,g,1,7729
2093,Butter,20,g,1,7729
2098,Semmelbrösel,300,g,1,7729
2100,Basmatireis,250,g,1,7729
2104,Erbsen (TK),150,g,1,7729
2106,Sojasprossen,100,g,1,7729
2117,gemischtes Hackfleisch,500,g,1,7729
2144,Joghurt,50,g,1,7729
2161,Feta,200,g,1,7729
2166,schwarze Oliven,100,g,1,7729
2167,Mehl,200,g,1,7729
2172,Mehl,140,g,1,7729
2173,Speisestärke,20,g,1,7729
2180,fettreicher Seefisch (z.B. Hering oder Lachs),40,g,1,7729
2187,Mehl,100,g,1,7729
2188,Sesamsamen,100,g,1,7729
2193,Champignons,500,g,1,7729
2196,Möhren,100,g,1,7729
2197,ja! Kochbeutel-Reis,250,g,1,7729
2200,REWE Bio tiefgefrorene junge Erbsen,100,g,1,7729
2206,REWE Beste Wahl Schlagsahne,100,g,1,7729
2207,Mandelkerne ohne Haut,40,g,1,7729
2209,"Nudeln (getrocknete, kurze Pastasorte, wie Casarecce, Fussili oder Farfalle)",200,g,1,7729
2210,Salsiccia (italienische Fenchelbratwurst),250,g,1,7729
2217,frischer Blattspinat,100,g,1,7729
2218,Kartoffeln,50,g,1,7729
2222,Kartoffeln,250,g,1,7729
2223,Topinambur,500,g,1,7729
2224,Putenfleisch,100,g,1,7729
2227,Instant Couscous,20,g,1,7729
2229,Himbeeren,100,g,1,7729
2230,Banane,20,g,1,7729
2233,Butter,50,g,1,7729
2235,Maisgrieß,250,g,1,7729
2236,Schafskäse,80,g,1,7729
2238,Pflaumen blau/schwarz (bio),50,g,1,7729
2239,Tafelbirnen,50,g,1,7729
2241,Milupa Bio Getreidebrei Hafer Reis,20,g,1,7729
2243,Handkäse,200,g,1,7729
2262,Preiselbeeren (Glas),200,g,1,7729
2280,REWE Feine Welt Italiens Backkunst Ciabatta,300,g,1,7729
2290,REWE Bio Räucherlachs Salmo salar,100,g,1,7729
2301,Rotbarschfilet,700,g,1,7729
2304,Zucchini,400,g,1,7729
2305,Möhren,250,g,1,7729
