|x|y|labels
119|4.941446781158447|-26.84137535095215|Apfel
120|8.722644805908203|14.850393295288086|Blattspinat
121|3.301821708679199|14.666559219360352|TK
122|18.262317657470703|13.60573959350586|Eier
123|23.649126052856445|12.82788372039795|(Größe
124|20.92786979675293|12.848604202270508|M)
125|1.7667237520217896|14.219365119934082|Eigelb
126|10.772209167480469|14.596776962280273|Erbsen
127|-2.6198997497558594|-20.97736167907715|Feldsalat
128|-7.2667131423950195|10.702737808227539|Gemüsebrühe
129|-15.072469711303711|1.626071572303772|Hackfleisch
130|6.57982063293457|14.648656845092773|Hähnchen
131|0.44469794631004333|-23.60311508178711|Karotten
132|-13.410299301147461|5.670437335968018|Möhren
133|5.648437976837158|-26.839468002319336|Quinoa
134|6.11670446395874|14.687148094177246|Minze
